Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rate,Critic_score,Critic_positive_reviews,Critic_mixed_reviews,Critic_negative_reviews,User_score,User_positive_reviews,User_mixed_reviews,User_negative_reviews,Type
Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Nintendo,E,76.0,31.0,20.0,0.0,8.0,375.0,161.0,13.0,Salon
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Nintendo,E,82.0,65.0,7.0,1.0,8.6,1000.0,139.0,30.0,Salon
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Nintendo,E,80.0,60.0,13.0,0.0,8.4,313.0,57.0,11.0,Salon
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Nintendo,E,89.0,62.0,3.0,0.0,8.5,778.0,137.0,17.0,Portable
Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Nintendo,E,58.0,2.0,31.0,8.0,6.6,37.0,87.0,16.0,Salon
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,Nintendo,E,87.0,75.0,5.0,0.0,8.2,779.0,181.0,42.0,Salon
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Nintendo,E,91.0,63.0,1.0,0.0,8.7,757.0,95.0,21.0,Portable
Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Nintendo,E,80.0,52.0,11.0,0.0,7.6,40.0,29.0,2.0,Salon
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Nintendo,E,80.0,29.0,4.0,0.0,7.5,41.0,35.0,4.0,Salon
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Good Science Studio,E,61.0,5.0,35.0,5.0,6.3,45.0,75.0,22.0,Salon
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Rockstar North,M,97.0,50.0,0.0,0.0,8.3,4100.0,458.0,527.0,Salon
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Rockstar North,M,95.0,79.0,1.0,0.0,9.2,4000.0,225.0,101.0,Salon
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,Nintendo,E,77.0,40.0,17.0,1.0,6.1,9.0,15.0,5.0,Portable
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,Rockstar North,M,97.0,57.0,1.0,0.0,8.3,3400.0,330.0,493.0,Salon
