,Name,Link,Year,Publisher,Platform
0,^_^,https://www.uvlist.net/game-267583-,2012,author,Windows
1,_ruz,https://www.uvlist.net/game-219346-RUZ,2015,breakfastgames,Linux
2,_ruz,https://www.uvlist.net/game-219350-RUZ,2015,breakfastgames,Mac OS X
3,_summer ,https://www.uvlist.net/game-156540-summer,2005,Hook,Windows
4,_summer ## ,https://www.uvlist.net/game-165436-summer,2006,GN Software ,PS2
5,- arcane raise -,https://www.uvlist.net/game-236580-Arcane+Raise,2017,WAX Publishing ,Windows
6,-atled- ,https://www.uvlist.net/game-243054-atled,2013,Moe App ,Android
7,-atled- ,https://www.uvlist.net/game-243055-atled,TBA,Moe App ,iOS
8,-atled- ,https://www.uvlist.net/game-243056-atled,2009,-atled- Seisaku Iinkai,Windows
9,-nvl*mgk- novel magika ,https://www.uvlist.net/game-258808-NVLMGK+Novel+Magika,2011,Nasska,Windows
10,-pp- pianissimo ,https://www.uvlist.net/game-177884-PP+Pianissimo,2006,Innocent Grey,Windows
11,:),https://www.uvlist.net/game-253903-,2020,torcado,Linux
12,:loop - izanahi no kaikiten ,https://www.uvlist.net/game-192515-Loop+Izanahi+no+Kaikiten,1995,Grocer,NEC PC9801
13,:loop ~izanahi no kaikiten~ ,https://www.uvlist.net/game-258806-Loop+Izanahi+no+Kaikiten,1997,Grocer,Windows
14,! that dick trying to steal our gold ! ,https://www.uvlist.net/game-204520-That+Dick+Trying+To+Steal+Our+Gold,2014,WTFOMGames,Linux
15,! that dick trying to steal our gold ! ,https://www.uvlist.net/game-229627-That+Dick+Trying+To+Steal+Our+Gold,2014,WTFOMGames,Windows
16,¡qué pasa neng! el videojuego,https://www.uvlist.net/game-194301-Que+Pasa+Neng+El+Videojuego,2006,Atari ,PS2
17,...in white ,https://www.uvlist.net/game-258807-...in+white,2009,ZIGZAG,Windows
18,...iru! ,https://www.uvlist.net/game-105603-...Iru,1998,Takara,PS
19,...knew the beginning,https://www.uvlist.net/game-268571-...Knew+the+Beginning,2022,Jokerngesund ,Windows
20,.detuned,https://www.uvlist.net/game-172882-.detuned,2009,Sony Computer Entertainment ,PS3
21,.dot,https://www.uvlist.net/game-218284-.dot,2015,TomDaUzi,Linux
22,.dungeon,https://www.uvlist.net/game-264473-.dungeon,?,Batts,Internet Only
23,.exe,https://www.uvlist.net/game-223837-.EXE,2016,Two Man Army Games,Linux
24,.exe,https://www.uvlist.net/game-229626-.EXE,2016,Two Man Army Games,Windows
25,.fuck ,https://www.uvlist.net/game-243057-.fuck,2006,Black Rainbow,Windows
26,.hack//frägment ,https://www.uvlist.net/game-164483-.hack+fragment,2005,Bandai ,PS2
27,.hack//g.u. last recode,https://www.uvlist.net/game-240592-.hack+G.U.+Last+Recode,2017,Bandai Namco Entertainment America ,PS4
28,.hack//g.u. last recode,https://www.uvlist.net/game-257557-.hack+G.U.+Last+Recode,2017,Namco Bandai Games,Windows
29,.hack//g.u. vol. 1//rebirth ,https://www.uvlist.net/game-164484-.hack+G.U.+vol.+1+Rebirth,2006,Namco;Bandai ,PS2
30,.hack//g.u. vol. 2//reminisce ,https://www.uvlist.net/game-164485-.hack+G.U.+vol.+2+Reminisce,2006,Namco;Bandai ,PS2
31,.hack//g.u. vol. 3//redemption ,https://www.uvlist.net/game-164486-.hack+G.U.+vol.+3+Redemption,2007,Namco;Bandai ,PS2
32,.hack//infection part 1 ,https://www.uvlist.net/game-155677-.hack+Infection+Part+1,2003,Bandai ,PS2
33,.hack//link ,https://www.uvlist.net/game-195303-.hack+Link,2010,Namco Bandai Games ,PSP
34,.hack//mobile ,https://www.uvlist.net/game-195304-.hack+Mobile,2003,Namco Bandai Games,Mobile
35,.hack//mutation part 2 ,https://www.uvlist.net/game-155678-.hack+Mutation+Part+2,2003,Bandai ,PS2
36,.hack//outbreak part 3 ,https://www.uvlist.net/game-155679-.hack+Outbreak+Part+3,2002,Bandai ,PS2
37,.hack//quarantine part 4 ,https://www.uvlist.net/game-155681-.hack+Quarantine+Part+4,2004,Bandai ,PS2
38,.heartbeats,https://www.uvlist.net/game-187133-.heartbeats,2012,author,Linux
39,.heartbeats,https://www.uvlist.net/game-240950-.heartbeats,2012,author,Windows
40,.lazr.,https://www.uvlist.net/game-206503-.lazr.,2014,Gaeel,Linux
41,'&' - sora no mukou de sakimasu you ni - ,https://www.uvlist.net/game-264727-Sora+no+Mukou+de+Sakimasu+you+ni,2013,5pb. Games ,PS3
42,'&' - sora no mukou de sakimasu you ni - ,https://www.uvlist.net/game-264728-Sora+no+Mukou+de+Sakimasu+you+ni,2012,Akatsuki Works,Windows
43,'80s tv shows - tidbit trivia,https://www.uvlist.net/game-230807-80s+TV+Shows+Tidbit+Trivia,?,Brain Rice Games,iOS
44,'89 dennou kyuusei uranai ,https://www.uvlist.net/game-157810-89+Dennou+Kyuusei+Uranai,1988,Jingukan ,NES
45,'90s song lyrics - tidbit trivia,https://www.uvlist.net/game-230133-90s+Song+Lyrics+Tidbit+Trivia,?,Brain Rice Games,iOS
46,'98 koushien ,https://www.uvlist.net/game-100903-98+Koushien,2000,Magical Company,PS
47,'99 koushien ,https://www.uvlist.net/game-100904-99+Koushien,1999,Magical Company,PS
48,'aha! i found it!' hidden object game ,https://www.uvlist.net/game-197624-Aha+I+Found+It+Hidden+Object+Game,2009,A-Team,Wii
49,'aha! i got it!' escape game ,https://www.uvlist.net/game-197642-Aha+I+Got+It+Escape+Game,2008,A-Team,Wii
50,'chou' kowai hanashi ds: ao no shou ,https://www.uvlist.net/game-258810-Chou+Kowai+Hanashi+DS+Ao+no+Shou,2010,Alchemist,Nintendo DS
51,'chutes and sharks,https://www.uvlist.net/game-198502-Chutes+and+Sharks,1981,Futura,TI99
52,'co** geass' -in'yoku no terrorist- ,https://www.uvlist.net/game-264730-Co+Geass+Inyoku+no+Terrorist,2007,Team-Tanabe,Windows
53,'copter capers,https://www.uvlist.net/game-198500-Copter+Capers,1982,Futura,TI99
54,'ghini run,https://www.uvlist.net/game-262620-Ghini+Run,2002,Piptol Productions ,MS-DOS
55,'gms2jam' ,https://www.uvlist.net/game-227529-GMS2JAM,2016,author,Linux
56,"'kareshi inai reki = nenrei' ja, doushite ikenai no yo!? ~sei torea gakuen ren'ai kinshi rei~ ",https://www.uvlist.net/game-264731-Kareshi+Inai+Reki++Nenrei+Ja+Doushite+Ikenai+no+yo+Sei+Torea+Gakuen+Renai+Kinshi+Rei,2012,Hadashi Shoujo,Windows
57,'merican mail,https://www.uvlist.net/game-228385-Merican+Mail,2012,Zener Works,PS Vita
58,'n verlore verstand,https://www.uvlist.net/game-219967-n+Verlore+Verstand,2016,Skobbejak Games,Linux
59,'n verlore verstand,https://www.uvlist.net/game-276038-n+Verlore+Verstand,2017,Skobbejak Games,Xbox One
60,'nakadashi' igai wa kousoku ihan ~joshi kou sai ・nottori keikaku~ ,https://www.uvlist.net/game-264732-Nakadashi+Igai+wa+Kousoku+Ihan+Joshi+Kou+Sai+Nottori+Keikaku,2006,MBS Truth,Windows
61,'nam 1965-1975,https://www.uvlist.net/game-40441-Nam+1965+1975,1991,Domark ,Atari ST
62,'nam 1965-1975,https://www.uvlist.net/game-212364-Nam+1965+1975,1991,Domark ,MS-DOS
63,'round town,https://www.uvlist.net/game-217492-Round+Town,2014,author,Linux
64,'s,https://www.uvlist.net/game-240951-S,2008,WLC Soft,Windows
65,'shirudaku' nobushito black box ,https://www.uvlist.net/game-240954-Shirudaku+Nobushito+Black+Box,2012,Black Lilith,Windows
66,"'sora neko' boku, onna no ko ni nacchatta - nyuugaku hen - ",https://www.uvlist.net/game-264733-Sora+Neko+Boku+Onna+no+Ko+ni+Nacchatta+Nyuugaku+Hen,2011,Lime Green,Windows
67,'splosion man,https://www.uvlist.net/game-172004-Splosion+Man,2009,Microsoft ,X360
68,'super' scary story ds blue chapter ,https://www.uvlist.net/game-257623-Super+scary+story+DS+blue+chapter,2010,Alchemist,Nintendo DS
69,'til cows tear us apart,https://www.uvlist.net/game-240952-Til+Cows+Tear+Us+Apart,2014,Pierre Corbinais,Windows
70,'watashi no iu koto kikinasai!' onee-chan-tachi to josou otouto shin-kun ~case 1 shin-kun no jijou~,https://www.uvlist.net/game-264734-Watashi+no+Iu+Koto+Kikinasai+Onee+chan+tachi+to+Josou+Otouto+Shin+kun+Case+1+Shin+kun+no+Jijou,2007,G Spot ,Windows
