,Name,Link,Year,Publisher,Platform
0,shiftrix,https://www.uvlist.net/game-42572-Shiftrix,1991,Software 2000,MS-DOS
1,shifty,https://www.uvlist.net/game-104355-Shifty,1983,Audiogenic ,VIC-20
2,shifty,https://www.uvlist.net/game-263864-Shifty,1976,author,custom
3,shifty dot,https://www.uvlist.net/game-216806-Shifty+Dot,2015,Worumba Games,Linux
4,shifty sam,https://www.uvlist.net/game-236064-Shifty+Sam,1983,Random House,Apple II E
5,shifty shapes,https://www.uvlist.net/game-256181-Shifty+Shapes,1986,Scholastic,Apple II E
6,shifty space,https://www.uvlist.net/game-226167-Shifty+Space,2016,Duobix,Linux
7,shiftygames concentration,https://www.uvlist.net/game-186982-Shiftygames+Concentration,2004,? ,BeOS
8,shiftygames concentration,https://www.uvlist.net/game-187827-Shiftygames+Concentration,2004,Shiftygames,Linux
9,shiftygames hangman,https://www.uvlist.net/game-186980-Shiftygames+Hangman,2004,? ,BeOS
10,shiftygames hangman,https://www.uvlist.net/game-187828-Shiftygames+Hangman,2004,Shiftygames,Linux
11,shiftygames scramble,https://www.uvlist.net/game-186981-Shiftygames+Scramble,2004,? ,BeOS
12,shiftygames scramble,https://www.uvlist.net/game-187824-Shiftygames+Scramble,2004,Shiftygames,Linux
13,shiftygames torrent,https://www.uvlist.net/game-186983-Shiftygames+Torrent,2004,? ,BeOS
14,shiftygames torrent,https://www.uvlist.net/game-187829-Shiftygames+Torrent,2004,Shiftygames,Linux
15,shigatari,https://www.uvlist.net/game-239668-Shigatari,2017,Super Legit Games,Linux
16,shigetaka kashiwagi's top water bassing,https://www.uvlist.net/game-6701-Shigetaka+Kashiwagis+Top+Water+Bassing,1995,Vap;Zeal,SNES
17,shigoku no renshuu mondai,https://www.uvlist.net/game-174494-Shigoku+no+Renshuu+Mondai,1984,HummingBirdSoft,MICRO 7 - FM7
18,shih ho,https://www.uvlist.net/game-217408-Shih+Ho,2015,author,Linux
19,shih tao,https://www.uvlist.net/game-194106-Shih+Tao,1991,author,Win3.1
20,shijou saikyou league serie a: ace striker,https://www.uvlist.net/game-6561-Shijou+Saikyou+League+Serie+A+Ace+Striker,1995,NHK;TNN,SNES
21,shijou saikyou no quiz ou ketteisen super,https://www.uvlist.net/game-166771-Shijou+Saikyou+no+Quiz+Ou+Ketteisen+Super,1992,Yonezawa;S'Pal,SNES
22,shijou saikyou no teishi: kenichi ,https://www.uvlist.net/game-277618-Shijou+Saikyou+no+Teishi+Kenichi,2007,CAPCOM,PS2
23,shikakui atama wo marukusuru,https://www.uvlist.net/game-181120-Shikakui+Atama+wo+Marukusuru,1998,Imagineer,GB
24,shikakui atama wo marukusuru - joushiki no shou,https://www.uvlist.net/game-181122-Shikakui+Atama+wo+Marukusuru+Joushiki+no+Shou,2000,Imagineer,GB
25,shikakui atama wo marukusuru - nanmon no shou,https://www.uvlist.net/game-181123-Shikakui+Atama+wo+Marukusuru+Nanmon+no+Shou,2000,Imagineer,GB
26,shikakui atama wo marukusuru - rika battle hen,https://www.uvlist.net/game-181124-Shikakui+Atama+wo+Marukusuru+Rika+Battle+Hen,1999,Imagineer,GB
27,shikakui atama wo marukusuru - sansu battle hen,https://www.uvlist.net/game-181125-Shikakui+Atama+wo+Marukusuru+Sansu+Battle+Hen,1999,Imagineer,GB
28,shikakui atama wo marukusuru - shakai battle hen,https://www.uvlist.net/game-181127-Shikakui+Atama+wo+Marukusuru+Shakai+Battle+Hen,1999,Imagineer,GB
29,shikakui atama wo marukusuru advance - kanji keisan,https://www.uvlist.net/game-157671-Shikakui+Atama+wo+Marukusuru+Advance+Kanji+Keisan,2004,Rocket Company,GBA
30,shikakui atama wo marukusuru advance - kokugo sansu rika shakai,https://www.uvlist.net/game-155407-Shikakui+Atama+wo+Marukusuru+Advance+Kokugo+Sansu+Rika+Shakai,2003,Rocket Company,GBA
